"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 07 19:40:02 IST 2023","Sat Jan 07 19:40:08 IST 2023","5299","","Login Test Suite","","Login Test Suite","First Test In WDIO","First Test In WDIO",""
"broken","Sat Jan 07 19:40:08 IST 2023","Sat Jan 07 19:40:14 IST 2023","6370","","Login Test Suite","","Login Test Suite","Login Test In WDIO","Login Test In WDIO",""
